,Compound,Date,Negative,Neutral,Positive,Tweet_account,text
0,0.0,Mon Jan 08 19:37:04 +0000 2018,1.0,0.0,0.0,@BBC,"tonight, go beyond the theatre doors and discover how surgeons push medical boundaries to the limits. ? 

surgeons:… https://t.co/zonkfmfkdy"
1,0.1779,Mon Jan 08 19:02:01 +0000 2018,0.793,0.088,0.119,@BBC,"?? the moment a moose, which got stuck up to its neck in snow, is freed by rescuers in canada. ? https://t.co/eddnzlfp2c"
2,-0.126,Mon Jan 08 18:32:04 +0000 2018,0.923,0.077,0.0,@BBC,?? this year you can get 24 days off in a row using just 14 days of leave! https://t.co/ffvi0okwiv https://t.co/3bijlmek4s
3,0.0,Mon Jan 08 18:02:04 +0000 2018,1.0,0.0,0.0,@BBC,?? it was a big day for princess charlotte today as she started at nursery school. https://t.co/uzm4xqmphv https://t.co/tvw11cknvf
4,0.0,Mon Jan 08 17:30:06 +0000 2018,1.0,0.0,0.0,@BBC,??this mum is taking on the global airline industry to get wheelchairs allowed on planes. https://t.co/c5sukv2fjy
5,0.0,Mon Jan 08 17:09:03 +0000 2018,1.0,0.0,0.0,@BBC,"this #meatfreemonday, why not give one of these veggie pasta bakes a go? ??? https://t.co/bfvmdf4fzi https://t.co/zrxjl2zass"
6,0.0,Mon Jan 08 16:48:04 +0000 2018,1.0,0.0,0.0,@BBC,"'i still have that karaoke machine!' ????

@camila_cabello explains how a @britneyspears karaoke cd made her christ… https://t.co/g2wjxbow67"
7,0.0,Mon Jan 08 16:33:07 +0000 2018,1.0,0.0,0.0,@BBC,these are some of the most striking photographs taken last week from around the world. ? https://t.co/nbdyzeg9yw https://t.co/ixljals7bq
8,0.0,Mon Jan 08 16:00:05 +0000 2018,1.0,0.0,0.0,@BBC,judi dench and maggie smith star as two sisters whose lives are changed when they befriend a man they find on the b… https://t.co/a9hqmwl9bv
9,0.0772,Mon Jan 08 15:27:21 +0000 2018,0.925,0.0,0.075,@BBC,"?eight books that will make you want to run away with the circus. ?? https://t.co/ahzu4dn2kd

#lovetoread https://t.co/fnps49syg6"
10,0.6908,Mon Jan 08 15:00:07 +0000 2018,0.769,0.0,0.231,@BBC,?? if you're married then it might be best to tread carefully today which has been dubbed #divorceday by lawyers.… https://t.co/tamdjajpmp
11,0.5106,Mon Jan 08 14:30:06 +0000 2018,0.71,0.0,0.29,@BBC,repeat bouts of warmer seawater are posing a significant challenge to the world's coral reefs. ? ? ?… https://t.co/nle91lqxyt
12,0.3182,Mon Jan 08 14:03:04 +0000 2018,0.728,0.111,0.161,@BBC,"'having kids ruins your life in the best way possible.'
11 things we learned from charlie brooker’s desert island d… https://t.co/qcyma9kdna"
13,-0.6739,Mon Jan 08 13:43:59 +0000 2018,0.524,0.476,0.0,@BBC,rt @bbcthesocial: wtf is #hygge? https://t.co/m04sxi3xmt
14,0.0,Mon Jan 08 13:40:41 +0000 2018,1.0,0.0,0.0,@BBC,rt @bbcrb: any spare paper laying about in your office? donate some today ! ? https://t.co/fwcgmnjk6y
15,0.4019,Mon Jan 08 13:33:04 +0000 2018,0.863,0.0,0.137,@BBC,"new year, new me? ? 

? ?  from taking photos inside active volcanoes to jousting, here are 8 hobbies you probably… https://t.co/wgthbd3tk1"
16,0.0,Mon Jan 08 13:00:08 +0000 2018,1.0,0.0,0.0,@BBC,?? this 16-year-old girl from east kilbride has made f4 motor racing history. https://t.co/lhhhu6vky8
17,0.8176,Mon Jan 08 12:40:13 +0000 2018,0.702,0.0,0.298,@BBC,rt @bbccornwall: ?? even the dolphins had a lovely time playing in the #sundaysunshine in mounts bay ???? thanks to #drone operator simon s…
18,0.0,Mon Jan 08 12:37:56 +0000 2018,1.0,0.0,0.0,@BBC,rt @bbc100women: the red carpet was a sea of black dresses and suits at the #goldenglobes.  stars discuss #whywewearblack and make it very…
19,0.0,Mon Jan 08 12:37:14 +0000 2018,1.0,0.0,0.0,@BBC,"rt @bbcspringwatch: 50 million trees are going to be planted ?
https://t.co/x4enjn8h2a"
20,0.0,Mon Jan 08 19:37:04 +0000 2018,1.0,0.0,0.0,@BBC,"tonight, go beyond the theatre doors and discover how surgeons push medical boundaries to the limits. ? 

surgeons:… https://t.co/zonkfmfkdy"
21,0.1779,Mon Jan 08 19:02:01 +0000 2018,0.793,0.088,0.119,@BBC,"?? the moment a moose, which got stuck up to its neck in snow, is freed by rescuers in canada. ? https://t.co/eddnzlfp2c"
22,-0.126,Mon Jan 08 18:32:04 +0000 2018,0.923,0.077,0.0,@BBC,?? this year you can get 24 days off in a row using just 14 days of leave! https://t.co/ffvi0okwiv https://t.co/3bijlmek4s
23,0.0,Mon Jan 08 18:02:04 +0000 2018,1.0,0.0,0.0,@BBC,?? it was a big day for princess charlotte today as she started at nursery school. https://t.co/uzm4xqmphv https://t.co/tvw11cknvf
24,0.0,Mon Jan 08 17:30:06 +0000 2018,1.0,0.0,0.0,@BBC,??this mum is taking on the global airline industry to get wheelchairs allowed on planes. https://t.co/c5sukv2fjy
25,0.0,Mon Jan 08 17:09:03 +0000 2018,1.0,0.0,0.0,@BBC,"this #meatfreemonday, why not give one of these veggie pasta bakes a go? ??? https://t.co/bfvmdf4fzi https://t.co/zrxjl2zass"
26,0.0,Mon Jan 08 16:48:04 +0000 2018,1.0,0.0,0.0,@BBC,"'i still have that karaoke machine!' ????

@camila_cabello explains how a @britneyspears karaoke cd made her christ… https://t.co/g2wjxbow67"
27,0.0,Mon Jan 08 16:33:07 +0000 2018,1.0,0.0,0.0,@BBC,these are some of the most striking photographs taken last week from around the world. ? https://t.co/nbdyzeg9yw https://t.co/ixljals7bq
28,0.0,Mon Jan 08 16:00:05 +0000 2018,1.0,0.0,0.0,@BBC,judi dench and maggie smith star as two sisters whose lives are changed when they befriend a man they find on the b… https://t.co/a9hqmwl9bv
29,0.0772,Mon Jan 08 15:27:21 +0000 2018,0.925,0.0,0.075,@BBC,"?eight books that will make you want to run away with the circus. ?? https://t.co/ahzu4dn2kd

#lovetoread https://t.co/fnps49syg6"
30,0.6908,Mon Jan 08 15:00:07 +0000 2018,0.769,0.0,0.231,@BBC,?? if you're married then it might be best to tread carefully today which has been dubbed #divorceday by lawyers.… https://t.co/tamdjajpmp
31,0.5106,Mon Jan 08 14:30:06 +0000 2018,0.71,0.0,0.29,@BBC,repeat bouts of warmer seawater are posing a significant challenge to the world's coral reefs. ? ? ?… https://t.co/nle91lqxyt
32,0.3182,Mon Jan 08 14:03:04 +0000 2018,0.728,0.111,0.161,@BBC,"'having kids ruins your life in the best way possible.'
11 things we learned from charlie brooker’s desert island d… https://t.co/qcyma9kdna"
33,-0.6739,Mon Jan 08 13:43:59 +0000 2018,0.524,0.476,0.0,@BBC,rt @bbcthesocial: wtf is #hygge? https://t.co/m04sxi3xmt
34,0.0,Mon Jan 08 13:40:41 +0000 2018,1.0,0.0,0.0,@BBC,rt @bbcrb: any spare paper laying about in your office? donate some today ! ? https://t.co/fwcgmnjk6y
35,0.4019,Mon Jan 08 13:33:04 +0000 2018,0.863,0.0,0.137,@BBC,"new year, new me? ? 

? ?  from taking photos inside active volcanoes to jousting, here are 8 hobbies you probably… https://t.co/wgthbd3tk1"
36,0.0,Mon Jan 08 13:00:08 +0000 2018,1.0,0.0,0.0,@BBC,?? this 16-year-old girl from east kilbride has made f4 motor racing history. https://t.co/lhhhu6vky8
37,0.8176,Mon Jan 08 12:40:13 +0000 2018,0.702,0.0,0.298,@BBC,rt @bbccornwall: ?? even the dolphins had a lovely time playing in the #sundaysunshine in mounts bay ???? thanks to #drone operator simon s…
38,0.0,Mon Jan 08 12:37:56 +0000 2018,1.0,0.0,0.0,@BBC,rt @bbc100women: the red carpet was a sea of black dresses and suits at the #goldenglobes.  stars discuss #whywewearblack and make it very…
39,0.0,Mon Jan 08 12:37:14 +0000 2018,1.0,0.0,0.0,@BBC,"rt @bbcspringwatch: 50 million trees are going to be planted ?
https://t.co/x4enjn8h2a"
40,0.1935,Mon Jan 08 12:37:05 +0000 2018,0.836,0.0,0.164,@BBC,"rt @bbccomedy: so, how you feeling today? ?? #mondaymotivation https://t.co/dyrd1shmfq"
41,0.4019,Mon Jan 08 12:36:01 +0000 2018,0.891,0.0,0.109,@BBC,"rt @bbcone: ? thick fur and enormous feet help canada lynx deal with deep snow and arctic conditions. 

? #bigcats, thursday at 8pm on @bbc…"
42,0.0,Mon Jan 08 12:29:03 +0000 2018,1.0,0.0,0.0,@BBC,"on what would have been #davidbowie's 71st birthday, here are 8 life lessons we can take away from the star man's t… https://t.co/kbsd0n77jx"
43,0.4939,Mon Jan 08 12:28:45 +0000 2018,0.868,0.0,0.132,@BBC,"rt @bbcasiannetwork: ? ""they walk in the room and they let everybody know.""
@iamwill tells @harpreetuk how he's been inspired to ditch the…"
44,0.0,Mon Jan 08 11:53:03 +0000 2018,1.0,0.0,0.0,@BBC,"?our universe has a speed limit of 299,792 km p/s (which is also the rate at which light travels), but what is it t… https://t.co/dfdyb5az1f"
45,0.0,Mon Jan 08 11:29:26 +0000 2018,1.0,0.0,0.0,@BBC,the biggest moments from last night's #goldenglobes. ? ? https://t.co/gzcjztqrln https://t.co/23ljxnf3wn
46,0.4215,Mon Jan 08 09:57:36 +0000 2018,0.763,0.0,0.237,@BBC,some powerful speeches and statements from this year's #goldenglobes. https://t.co/ewkahpthov
47,0.5994,Mon Jan 08 09:00:06 +0000 2018,0.837,0.0,0.163,@BBC,we have a 'supermoon trilogy' coming in january &amp; the final one - a 'super blue blood moon' - could be the most rar… https://t.co/nbwhzdxrsh
48,0.0,Mon Jan 08 08:46:52 +0000 2018,1.0,0.0,0.0,@BBC,rt @bbcworld: golden globes 2018: why stars wore black on the red carpet https://t.co/p4luzteofq
49,-0.4019,Mon Jan 08 08:46:36 +0000 2018,0.742,0.177,0.081,@BBC,rt @bbcengland: commuters face up to three days of disruption as staff at five train firms begin a fresh wave of strikes in separate disput…
50,0.0,Mon Jan 08 08:45:11 +0000 2018,1.0,0.0,0.0,@BBC,"rt @bbcnewsbeat: here are the eight big moments from the #goldenglobes last night:

https://t.co/dzbliyugwt https://t.co/zdm1kl7wnm"
51,0.2755,Mon Jan 08 08:44:58 +0000 2018,0.883,0.0,0.117,@BBC,rt @bbcthree: you'll never complain about your commute again after you see these bonkers journeys https://t.co/43i5hefpj8 https://t.co/dzwj…
52,0.4574,Mon Jan 08 08:44:11 +0000 2018,0.87,0.0,0.13,@BBC,"rt @bbcgetinspired: you can do it! ? 

@adeleroberts is on a mission to get you active with her january health hacks. #getinspired #mondaym…"
53,0.0,Mon Jan 08 08:44:05 +0000 2018,1.0,0.0,0.0,@BBC,"rt @bbcworldservice: ""the fact that we have an epidemic of depression... is telling us that we've built a society that doesn't match people…"
54,0.0,Mon Jan 08 08:40:02 +0000 2018,1.0,0.0,0.0,@BBC,"beef farmer jay gave up his family farm to send his herd to live out their days in a sanctuary. ????
#everydayheroes https://t.co/ijbp8kxfna"
55,0.0,Mon Jan 08 08:40:00 +0000 2018,1.0,0.0,0.0,@BBC,"rt @bbc6music: ??? today would have been david bowie's 71st birthday. in 1973 on @bbc's nationwide, he contemplated life after ziggy stardu…"
56,0.0,Mon Jan 08 08:33:02 +0000 2018,1.0,0.0,0.0,@BBC,when you wake up and remember you're expected to work five whole days this week. ? #mondaymorning https://t.co/ju3okv1rep
57,0.0,Mon Jan 08 08:00:08 +0000 2018,1.0,0.0,0.0,@BBC,??? why do some people need several cups of coffee just to get through the day? https://t.co/l3pohvghje
58,0.4588,Mon Jan 08 07:38:10 +0000 2018,0.667,0.0,0.333,@BBC,??? preserving morocco's grand gardens. https://t.co/rh4tovulzu https://t.co/kvynry7zdt
59,0.2263,Sun Jan 07 20:03:03 +0000 2018,0.734,0.107,0.158,@BBC,"switzerland's schindler? 
carl lutz is the forgotten swiss diplomat who rescued thousands from holocaust.… https://t.co/lnzrhfr6ln"
60,0.7351,Sun Jan 07 19:30:04 +0000 2018,0.721,0.0,0.279,@BBC,"tonight, michael palin shares the story behind his outstanding career in television and film. ? 

michael palin: a… https://t.co/voyzhp6jyu"
61,0.0,Sun Jan 07 19:25:10 +0000 2018,1.0,0.0,0.0,@BBC,rt @bbcworld: snowing or glowing? https://t.co/em8ks1agpz
62,0.0,Sun Jan 07 19:22:48 +0000 2018,1.0,0.0,0.0,@BBC,"rt @bbcradio4: ? roll up! roll up!
https://t.co/aealoy7xgg"
63,0.0,Sun Jan 07 19:19:39 +0000 2018,1.0,0.0,0.0,@BBC,"rt @bbccomedy: we can't keep up with the karcrashians. ohmigod, so pwetty!!!! https://t.co/ejv7fijmob"
64,-0.1531,Sun Jan 07 19:18:56 +0000 2018,0.926,0.074,0.0,@BBC,"rt @bbcmusic: ed sheeran performing 'perfect' with jools holland and his rhythm &amp; blues orchestra was rather exceptional ?
-
miss the show?…"
65,0.3612,Sun Jan 07 19:00:05 +0000 2018,0.898,0.0,0.102,@BBC,"you can learn what an animal sounds like from what it evolved to hear. 

and it turns out, t rex sounded nothing li… https://t.co/buxuj3majp"
66,0.0,Sun Jan 07 18:32:03 +0000 2018,1.0,0.0,0.0,@BBC,"tonight, david attenborough attempts to animate the life of a 200-million-year-old ichthyosaur. ? 

attenborough an… https://t.co/xwsafgcqu8"
67,0.6369,Sun Jan 07 17:59:05 +0000 2018,0.682,0.0,0.318,@BBC,budget italian feasts the whole family will love. ? https://t.co/mtslovp6m6 https://t.co/8fcy2tobm6
68,0.4215,Sun Jan 07 17:19:01 +0000 2018,0.797,0.0,0.203,@BBC,"what's the true scale of the global trade in humans? 
#mcmafia https://t.co/3x7ydsabmv"
69,0.128,Sun Jan 07 16:53:27 +0000 2018,0.359,0.308,0.333,@BBC,"the best, worst and weirdest #facup fan fashion. ??? https://t.co/hdebwew84u https://t.co/1dmfvbc8oj"
70,-0.0258,Sun Jan 07 16:34:03 +0000 2018,0.695,0.155,0.15,@BBC,rt @bbc_designed: eastern block design is back and it’s inspiring a whole new fashion movement. ? https://t.co/xs6vj68vx8
71,0.5859,Sun Jan 07 16:31:59 +0000 2018,0.612,0.0,0.388,@BBC,rt @bbcworld: a beauty contest with a difference ? https://t.co/arddefbwo5
72,0.6369,Sun Jan 07 16:31:55 +0000 2018,0.769,0.0,0.231,@BBC,rt @bbcthree: becoming a single mum was the best thing that happened to me  https://t.co/64zeqqrwe0 https://t.co/bjrobhterz
73,0.0,Sun Jan 07 16:31:45 +0000 2018,1.0,0.0,0.0,@BBC,rt @bbcscotland: 'official sightings' of nessie in 2017 were the highest this century ? https://t.co/etouirbb0z
74,0.4019,Sun Jan 07 16:31:39 +0000 2018,0.828,0.0,0.172,@BBC,rt @bbccomedy: when your wife is definitely not your wife... ?? #wouldilietoyou @joelycett https://t.co/rr268sr8p6
75,0.0,Sun Jan 07 16:30:09 +0000 2018,1.0,0.0,0.0,@BBC,"the ricky &amp; graham show, anyone?

#thegnshow https://t.co/bvfk05j0zq"
76,0.0,Sun Jan 07 16:27:07 +0000 2018,1.0,0.0,0.0,@BBC,"rt @bbcmusic: you might recognise some of the names who voted in the #soundof2018 poll..

hiya @stormzy1, @elliegoulding and @alexander_oll…"
77,0.0,Sun Jan 07 16:25:04 +0000 2018,1.0,0.0,0.0,@BBC,rt @bbctwo: here's why doves will not be appearing at the tokyo 2020 olympics. ?? #qi https://t.co/fm1fx4wztq
78,0.0,Sun Jan 07 16:19:01 +0000 2018,1.0,0.0,0.0,@BBC,"rt @bbcone: ? incoming. 
#mcmafia continues tonight at 9pm, @bbcone. don’t be late. https://t.co/z1jbkx7ral"
79,-0.0772,Sun Jan 07 16:18:25 +0000 2018,0.925,0.075,0.0,@BBC,rt @bbcworldservice: could one of the toughest cycling races bring unity to colombia? more here: https://t.co/mfl1o9spkm https://t.co/jnwdg…
80,0.4019,Sun Jan 07 16:00:07 +0000 2018,0.856,0.0,0.144,@BBC,"burnt out? here are 8 locations to help you get way, way away from it all. ? https://t.co/qinvxqrmpa https://t.co/csaninn8pn"
81,-0.3182,Sun Jan 07 15:30:05 +0000 2018,0.758,0.152,0.09,@BBC,"are you prepared for the collapse of society? ?
here’s the knowledge you’d need to reboot civilisation. ?… https://t.co/rqtuoyemqc"
82,0.0,Sun Jan 07 15:01:01 +0000 2018,1.0,0.0,0.0,@BBC,"take a peek #insidethefactory to see how a fish finger is made. ???
https://t.co/fejnii4shz"
83,0.6597,Sun Jan 07 14:30:02 +0000 2018,0.769,0.0,0.231,@BBC,this fisherman in cornwall is helping to save cetaceans by using modern technology to aid his fishing practices. ?? https://t.co/rlnklqxfwf
84,0.0,Sun Jan 07 14:00:04 +0000 2018,1.0,0.0,0.0,@BBC,"the year is 2018.
music is changing fast, but can the humans keep up?
here's a handful of possible outcomes. ?… https://t.co/pqyelwwhnz"
85,0.6369,Sun Jan 07 13:33:06 +0000 2018,0.781,0.0,0.219,@BBC,take a look at some of the best photographs of the uk from last year. ? https://t.co/why5ck9xkk https://t.co/xjfduxho1z
86,-0.1531,Sun Jan 07 13:10:30 +0000 2018,0.89,0.11,0.0,@BBC,"rt @bbcradio4: ‘i exaggerate for comic effect’ 
@charltonbrooker on his on-screen persona. 
#desertislanddiscs 
https://t.co/tdfpzed4cj"
87,0.5267,Sun Jan 07 13:00:04 +0000 2018,0.841,0.0,0.159,@BBC,"is this the new age of the train? 

? @bbc_culture explores the brave new world of futuristic rail travel.… https://t.co/x6ubsxe6eq"
88,-0.5423,Sun Jan 07 12:33:59 +0000 2018,0.763,0.189,0.048,@BBC,"rt @bbcone: a mysterious figure reaches out to alex, who is finding it increasingly difficult to say no. #mcmafia. tonight, 9pm. @bbcone. h…"
89,-0.5204,Sun Jan 07 12:30:05 +0000 2018,0.708,0.227,0.065,@BBC,"if you have anxiety, you’re not alone. over 8m people in the uk have an anxiety disorder of some sort. 
here's some… https://t.co/rg917tpukp"
90,-0.4588,Sun Jan 07 11:36:25 +0000 2018,0.727,0.273,0.0,@BBC,rt @bbcscotland: the abandoned island reclaimed by seabirds ? https://t.co/yravnfn8xa
